n_texts,n_authors,handles,skeleton
29,29,"PentlandsTax, jon_vyse, PeacockAcc, Parryandparry, oxonaccountancy, nineteen_accs",savings interest could trigger tax could your savings interest create a tax bill? know your allowances and how
25,8,"_zack255, Aduiwayanga, Mwamba_hi, Godfxer_fan, 1ngadu1, Kilwafinest","nukuu za mhe. rais samia akishuhudia tamko la pamoja la maridhiano ya kisiasa baina ya ccm na act, zanzibar <h"
5,5,"EdisonMyinga1, JohnNgutiCDM, JumaAbdukarim, jennie_wwt, TzGiza","moja ya ushiriki wa nguvu ya umma ni maandamano, ushiriki wa wananchi umeongezeka kwa kiasi fulani, maandamano"
5,5,"Gitz__, vybzmartel_, GrieyKing, Zephrteve, nursemoraa",ebu pitieni huko <u> mwangalie kama your voter details ziko. naona iebc wameanua zangu ! <u>
3,3,"K24Tv, MayianFM, MsenanguFM",""" sisi wote tuliondokea hio wheelbarrow.” -hon. ndindi nyoro <u>"
3,3,"omwambaKE, nairobieyeKE, eagle_feed",senator samson cherargei demands the resignation of interior cs kipchumba murkomen over persistent national se
3,3,"KahawaTungu, eagle_feed, NairobiNews254",ruto appoints kindiki to lead implementation of sh<n> trillion lamu oil refinery project <u>
3,3,"KamemeTvKenya, K24Tv, MashaGeorge12","ndindi nyoro regrets backing kenya kwanza, hints at new political direction <u>"
3,3,"Nairobi_Leo, HourlyNewsWave, TheTackleKE",ndindi nyoro hosts the leadership of gitweku girls high school. <u>
3,3,"NyakundiReport, nairobieyeKE, eagle_feed",nairobi regional police commander issa mohamud says police did not deny anyone access to nairobi cbd during sa
3,3,"Kenyans, KahawaTungu, TheTackleKE","mr. kanja, you may want to use the ol kalou by-election to redeem your dwindling public image - rigathi gachag"
3,3,"NairobiNews254, KahawaTungu, eagle_feed",matiangi meets ambassador of the state of israel to kenya gideon behar at his karen office in nairobi <u>
5,3,"StandardKenya, KTNNewsKE, SpiceFMKE","broad-based family introducing platinum, silver and emerald memberships tailored just for you! more choice. mo"
4,3,"kichefuchefuu, Macheda__, chich00___",kiongozi wa kundi la waasi wa tff ameweka wazi msimamo wake kwa kukataa maandamano. ujumbe unabaki kuwa mmoja:
3,3,"NationAfrica, ntvkenya, jwaikenya",infotrak poll: president william ruto most popular presidential hopeful if <n> elections were held today at <n
6,3,"KTNNewsKE, radiomaisha, SpiceFMKE",iebc declares dcp's sammy douglas waweru kamau as the winner of the ol kalou parliamentary by-election after g
3,3,"Nairobi_Leo, HourlyNewsWave, 8t8_mediakenya",i dare natembeya and sifuna to try and pull a crowd like the one we witnessed with united opposition in wester
3,3,"KTNNewsKE, StandardKenya, GameYetu","france beat morocco <n>-<n>, kylian mbappe and ousmane dembele score in second half to send les bleus into <n>"
3,3,"Nairobi_Leo, HourlyNewsWave, 8t8_mediakenya",dp kithure kindiki arrives at the ask nakuru showground for the second phase of disbursements under the nyota 
3,3,"KevinjjUSA, kevinjohnston01, KevinJTaxTruth",do not let massive capital gains tax destroy your hard-earned wealth. get a plan before you sell by visiting <
3,3,"Nick_Weather, iembot_tx, iembot_sjt","sjt issues flood advisory for coleman, mcculloch, san saba [tx] till jul <n>, <n> am cdt <u> <u>"
