platform_post_id,snapshots,span_h,likes_gained,max_step_share,step_at_snapshot,author_handle,text
2075061400167145510,36,119.7,999,0.929,4,moneyacademyKE,Kenya faces an 84.1% chance of some form of election-related violence during the 2027 General Electi
2077719476141707769,33,24.4,1264,0.771,2,Kenyans,"Ol Kalou residents force police officers to open their bags, demand to verify they are not carrying "
2074406901010329621,316,173.7,2440,0.764,0,moneyacademyKE,China has sentenced former Nanjing official Yang Youlin to death for taking $325 million in bribes.
2072965032359457084,79,315.3,140,0.757,0,dkmaraga,"Karibu Gusii, my friend! 

#Ukombozi"
2073829288499912845,226,115.3,68,0.735,0,amuse,ISLAMIFICATION: A former federal investigator went undercover at the East Plano Islamic Center & rep
2074476550972461422,213,208.7,874,0.658,4,moneyacademyKE,"Aliko Dangote says his planned 700,000-barrel-per-day oil refinery will be built in Kenya instead of"
2074046114785792203,170,103.6,1698,0.648,0,DrJuma_M,"How Is Irungu Kangata Able to Smell Shit this Early, This Motherfvcker Always Finds Himself at the R"
2073703364098167255,63,79.0,651,0.639,0,VTuberInsiderJP,"【悲報】
VTuber界隈の「転生すれば勝ち組」神話、また崩れる

Sameko Sabaさん、復帰直後はVTuber史に残るレベルの数字を叩き出す
↓
ファン「企業辞めても余裕！個人勢最強！」
↓
"
2074233311556431906,224,118.3,3131,0.629,0,dieworkwear,"do normal, caring, intelligent people not seek political power or something?"
2072927540432306572,464,315.3,216,0.611,0,dkmaraga,https://t.co/EQYtPMDvK9
2072964575054446799,54,107.1,539,0.61,0,Kimuzi_,"There will be signs.

The clouds are gathering. https://t.co/aThDxbjVaI"
