post_id,pool,stratum,label,label_gemini,label_cursor
2078034272934363298,agree_hate,p_hate_top,hate,hate,hate
2078495428392231037,agree_hate,p_hate_top,hate,hate,hate
2075236444029747482,split_gem_soft,p_hate_top,,offensive,hate
2073630067402355019,agree_hate,p_offensive_top,hate,hate,hate
2078469306052927781,split_gem_soft,p_hate_top,,neither,hate
2074462645642522751,agree_coded,nli_tail,neither,neither,neither
2057106695822663718,agree_coded,lexicon,neither,neither,neither
2076586226040074606,split_gem_soft,p_hate_top,,neither,hate
2070957004017774874,split_gem_hard,p_hate_top,,hate,neither
2074123719069339773,random_agreed,p_offensive_top,offensive,offensive,offensive
2070620265155879104,split_gem_soft,p_hate_top,,offensive,hate
2078449911998099629,agree_coded,nli_tail,neither,neither,neither
2078100654921523460,split_gem_soft,p_hate_top,,neither,hate
2078796447047401779,split_gem_hard,p_hate_top,,hate,offensive
2078230631566451064,random_agreed,p_offensive_top,offensive,offensive,offensive
2075174374278086891,random_agreed,random_control,neither,neither,neither
2077282884352614449,random_agreed,p_hate_top,neither,neither,neither
2073658016948191591,split_gem_soft,p_hate_top,,neither,hate
2074912160572932516,random_agreed,p_offensive_top,offensive,offensive,offensive
2076176895083704657,random_agreed,p_hate_top,offensive,offensive,offensive
2074188680307056915,agree_coded,lexicon,neither,neither,neither
2077310199317037171,agree_hate,p_hate_top,hate,hate,hate
2075513624525705435,split_gem_hard,p_hate_top,,hate,offensive
2078154930511073517,agree_coded,nli_tail,neither,neither,neither
2072137185449345067,agree_hate,p_hate_top,hate,hate,hate
2078627216460575193,split_gem_soft,p_hate_top,,neither,hate
2078393699315097925,split_gem_soft,p_hate_top,,neither,hate
2077462415122338163,random_agreed,p_offensive_top,offensive,offensive,offensive
2078092629145956698,agree_coded,nli_tail,neither,neither,neither
2075134317487943958,random_agreed,random_control,neither,neither,neither
2074669579930890382,split_gem_soft,p_offensive_top,,offensive,hate
2073855063013920832,agree_coded,nli_tail,neither,neither,neither
2078364957251432535,split_gem_soft,p_hate_top,,neither,hate
2074448808222630287,random_agreed,p_hate_top,neither,neither,neither
2074142904227180582,agree_hate,p_hate_top,hate,hate,hate
2074027527920656845,random_agreed,p_hate_top,neither,neither,neither
2077826792224653601,split_gem_hard,p_hate_top,,hate,neither
2074479551883690319,agree_hate,p_hate_top,hate,hate,hate
2076527612529344713,random_agreed,p_offensive_top,neither,neither,neither
2070399159903928404,split_gem_soft,p_hate_top,,neither,hate
2073449649780691403,split_gem_hard,p_hate_top,,hate,neither
2073621324170215479,split_gem_soft,p_offensive_top,,offensive,hate
2075278596323647536,agree_coded,nli_tail,neither,neither,neither
2078034906425254290,split_gem_soft,p_hate_top,,neither,hate
2078625170399384020,random_agreed,p_hate_top,neither,neither,neither
2075619365761007671,random_agreed,p_hate_top,neither,neither,neither
2075516463293603900,split_gem_soft,p_hate_top,,neither,hate
2073767221709451397,random_agreed,p_offensive_top,offensive,offensive,offensive
2077322547574481337,agree_coded,nli_tail,neither,neither,neither
2074531230570151944,split_gem_hard,p_hate_top,,hate,neither
2078725075386442087,agree_hate,p_hate_top,hate,hate,hate
2071932298451112289,split_gem_hard,p_hate_top,,hate,neither
2073767274956152965,split_gem_soft,p_hate_top,,neither,hate
2073409291491659891,agree_coded,nli_tail,neither,neither,neither
2077905987634098339,split_gem_hard,p_hate_top,,hate,neither
2078548487604711569,random_agreed,p_offensive_top,offensive,offensive,offensive
2070947263455560021,split_gem_soft,p_offensive_top,,offensive,hate
2073850941598478601,agree_hate,p_hate_top,hate,hate,hate
2074384591142404118,agree_coded,nli_tail,neither,neither,neither
2074383796313444471,agree_coded,nli_tail,neither,neither,neither
2077638102919577607,agree_coded,nli_tail,neither,neither,neither
2074580864126861767,split_gem_soft,p_hate_top,,neither,hate
2074501288910364792,split_gem_soft,p_hate_top,,neither,hate
2073767001860825160,random_agreed,random_control,neither,neither,neither
2077087720707358827,random_agreed,p_offensive_top,offensive,offensive,offensive
2075172069566763028,split_gem_soft,p_hate_top,,neither,hate
2073398689364684874,split_gem_soft,p_hate_top,,neither,hate
2075261779748208711,random_agreed,p_offensive_top,offensive,offensive,offensive
2073405304390254737,split_gem_soft,p_hate_top,,neither,hate
2072782341454377172,split_gem_soft,p_hate_top,,neither,hate
2074063563119870278,split_gem_hard,p_hate_top,,hate,neither
2074385558013431877,random_agreed,p_offensive_top,offensive,offensive,offensive
2074549634660208954,split_gem_soft,p_hate_top,,neither,hate
2075608831984320526,agree_coded,nli_tail,neither,neither,neither
2077796361844465903,random_agreed,p_offensive_top,offensive,offensive,offensive
2075559968283971624,random_agreed,p_offensive_top,offensive,offensive,offensive
2075266713084387761,agree_hate,p_hate_top,hate,hate,hate
2077282514360586650,agree_hate,p_hate_top,hate,hate,hate
2076194521482670352,agree_coded,lexicon,neither,neither,neither
2073839392746041535,agree_hate,p_hate_top,hate,hate,hate
2075301410409738748,agree_coded,nli_tail,neither,neither,neither
2075904980846866680,agree_coded,lexicon,neither,neither,neither
2077423077906866542,random_agreed,p_offensive_top,offensive,offensive,offensive
2074924931997999451,agree_coded,nli_tail,neither,neither,neither
2075077351776436527,random_agreed,p_offensive_top,neither,neither,neither
2075176797340102829,split_gem_hard,p_hate_top,,hate,offensive
2076680396503216261,agree_hate,p_hate_top,hate,hate,hate
2072682220817379695,agree_hate,p_hate_top,hate,hate,hate
2074505459935953358,random_agreed,p_hate_top,neither,neither,neither
2077252339790975271,agree_hate,p_hate_top,hate,hate,hate
2077961060330463545,agree_coded,nli_tail,neither,neither,neither
2078652119587201483,split_gem_hard,p_hate_top,,hate,offensive
2074502511860343288,random_agreed,p_offensive_top,offensive,offensive,offensive
2075608949542269329,agree_hate,p_hate_top,hate,hate,hate
2070932374536224962,agree_coded,nli_tail,neither,neither,neither
2075105434956972140,random_agreed,p_hate_top,neither,neither,neither
2074794095789133860,split_gem_hard,p_hate_top,,hate,offensive
2077913440954257738,split_gem_soft,p_hate_top,,neither,hate
2075574814748582007,random_agreed,p_hate_top,neither,neither,neither
2074727510210752869,split_gem_soft,p_hate_top,,neither,hate
2075236214853042361,agree_hate,p_hate_top,hate,hate,hate
2075259609309135206,split_gem_soft,p_hate_top,,neither,hate
2074936454254370906,split_gem_soft,p_hate_top,,neither,hate
2078473415694909880,split_gem_soft,p_offensive_top,,offensive,hate
2074518434381992335,random_agreed,p_hate_top,neither,neither,neither
2074222111023943885,random_agreed,p_offensive_top,offensive,offensive,offensive
2076982512669143378,random_agreed,random_control,neither,neither,neither
2075219160682902014,random_agreed,p_offensive_top,neither,neither,neither
2077807282289508578,agree_coded,lexicon,neither,neither,neither
2075538517023658041,random_agreed,p_offensive_top,offensive,offensive,offensive
2075257125186445363,agree_coded,lexicon,neither,neither,neither
2072392846422745149,random_agreed,p_offensive_top,offensive,offensive,offensive
2074431305542996104,split_gem_soft,p_hate_top,,neither,hate
2073886667233189909,agree_coded,nli_tail,neither,neither,neither
2076123001930608885,agree_coded,lexicon,neither,neither,neither
2073052992421384548,random_agreed,p_hate_top,neither,neither,neither
2075089952719724946,split_gem_soft,p_hate_top,,neither,hate
2075714989411983436,random_agreed,p_offensive_top,offensive,offensive,offensive
2075168762056110127,agree_hate,p_hate_top,hate,hate,hate
2077453835983835376,random_agreed,p_hate_top,neither,neither,neither
